MC	<p>12a1_e1ba</p> <p>The pH of the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span> is <span style='font-family: monospace;'>6.9</span>, while the <span style='color: #0F766E; font-weight: 700;'>saliva</span> is pH <span style='font-family: monospace;'>6.9</span>. This is a difference of 0 pH units.</p><p>The <span style='color: #0F766E; font-weight: 700;'>saliva</span> has:</p>	0 times higher [H+] than the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span>.	Incorrect	0 times lower [H+] than the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span>.	Incorrect	10^0 times higher [H+] than the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span>.	Correct	10^0 times lower [H+] than the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span>.	Incorrect
MC	<p>5e7d_688e</p> <p>The pH of the <span style='color: #6B7280; font-weight: 700;'>egg white</span> is <span style='font-family: monospace;'>9.0</span>, while the <span style='color: #3F3F46; font-weight: 700;'>black coffee</span> is pH <span style='font-family: monospace;'>5.0</span>. This is a difference of 4 pH units.</p><p>The <span style='color: #3F3F46; font-weight: 700;'>black coffee</span> has:</p>	4 times higher [H+] than the <span style='color: #6B7280; font-weight: 700;'>egg white</span>.	Incorrect	4 times lower [H+] than the <span style='color: #6B7280; font-weight: 700;'>egg white</span>.	Incorrect	10,000 (10<sup>4</sup>) times higher [H+] than the <span style='color: #6B7280; font-weight: 700;'>egg white</span>.	Correct	10,000 (10<sup>4</sup>) times lower [H+] than the <span style='color: #6B7280; font-weight: 700;'>egg white</span>.	Incorrect
MC	<p>1977_1a1e</p> <p>The pH of the <span style='color: #6B7280; font-weight: 700;'>egg white</span> is <span style='font-family: monospace;'>9.1</span>, while the <span style='color: #3F3F46; font-weight: 700;'>black coffee</span> is pH <span style='font-family: monospace;'>5.1</span>. This is a difference of 4 pH units.</p><p>The <span style='color: #3F3F46; font-weight: 700;'>black coffee</span> has:</p>	4 times lower [H+] than the <span style='color: #6B7280; font-weight: 700;'>egg white</span>.	Incorrect	10,000 (10<sup>4</sup>) times higher [H+] than the <span style='color: #6B7280; font-weight: 700;'>egg white</span>.	Correct	4 times higher [H+] than the <span style='color: #6B7280; font-weight: 700;'>egg white</span>.	Incorrect	10,000 (10<sup>4</sup>) times lower [H+] than the <span style='color: #6B7280; font-weight: 700;'>egg white</span>.	Incorrect
MC	<p>da8e_bb43</p> <p>The pH of the <span style='color: #7C3AED; font-weight: 700;'>bleach</span> is <span style='font-family: monospace;'>12.1</span>, while the <span style='color: #6B7280; font-weight: 700;'>egg white</span> is pH <span style='font-family: monospace;'>9.1</span>. This is a difference of 3 pH units.</p><p>The <span style='color: #6B7280; font-weight: 700;'>egg white</span> has:</p>	1,000 (10<sup>3</sup>) times higher [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Correct	3 times lower [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect	1,000 (10<sup>3</sup>) times lower [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect	3 times higher [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect
MC	<p>a878_1d52</p> <p>The pH of the <span style='color: #991B1B; font-weight: 700;'>cola</span> is <span style='font-family: monospace;'>2.5</span>, while the <span style='color: #B45309; font-weight: 700;'>gastric juice</span> is pH <span style='font-family: monospace;'>1.5</span>. This is a difference of 1 pH units.</p><p>The <span style='color: #B45309; font-weight: 700;'>gastric juice</span> has:</p>	1 times lower [H+] than the <span style='color: #991B1B; font-weight: 700;'>cola</span>.	Incorrect	1 times higher [H+] than the <span style='color: #991B1B; font-weight: 700;'>cola</span>.	Incorrect	10 (10<sup>1</sup>) times higher [H+] than the <span style='color: #991B1B; font-weight: 700;'>cola</span>.	Correct	10 (10<sup>1</sup>) times lower [H+] than the <span style='color: #991B1B; font-weight: 700;'>cola</span>.	Incorrect
MC	<p>d2fe_ca02</p> <p>The pH of the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span> is <span style='font-family: monospace;'>8.4</span>, while the <span style='color: #991B1B; font-weight: 700;'>cola</span> is pH <span style='font-family: monospace;'>2.4</span>. This is a difference of 6 pH units.</p><p>The <span style='color: #991B1B; font-weight: 700;'>cola</span> has:</p>	1 million (10<sup>6</sup>) times higher [H+] than the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span>.	Correct	1 million (10<sup>6</sup>) times lower [H+] than the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span>.	Incorrect	6 times higher [H+] than the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span>.	Incorrect	6 times lower [H+] than the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span>.	Incorrect
MC	<p>a992_9bf0</p> <p>The pH of the <span style='color: #7C3AED; font-weight: 700;'>bleach</span> is <span style='font-family: monospace;'>12.1</span>, while the <span style='color: #0EA5E9; font-weight: 700;'>seawater</span> is pH <span style='font-family: monospace;'>8.1</span>. This is a difference of 4 pH units.</p><p>The <span style='color: #0EA5E9; font-weight: 700;'>seawater</span> has:</p>	4 times higher [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect	10,000 (10<sup>4</sup>) times higher [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Correct	4 times lower [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect	10,000 (10<sup>4</sup>) times lower [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect
MC	<p>ca31_2762</p> <p>The pH of the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span> is <span style='font-family: monospace;'>8.5</span>, while the <span style='color: #9A3412; font-weight: 700;'>vinegar</span> is pH <span style='font-family: monospace;'>2.5</span>. This is a difference of 6 pH units.</p><p>The <span style='color: #9A3412; font-weight: 700;'>vinegar</span> has:</p>	1 million (10<sup>6</sup>) times lower [H+] than the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span>.	Incorrect	6 times higher [H+] than the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span>.	Incorrect	6 times lower [H+] than the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span>.	Incorrect	1 million (10<sup>6</sup>) times higher [H+] than the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span>.	Correct
MC	<p>eb2e_5bcc</p> <p>The pH of the <span style='color: #7C3AED; font-weight: 700;'>bleach</span> is <span style='font-family: monospace;'>12.0</span>, while the <span style='color: #3F3F46; font-weight: 700;'>black coffee</span> is pH <span style='font-family: monospace;'>5.0</span>. This is a difference of 7 pH units.</p><p>The <span style='color: #3F3F46; font-weight: 700;'>black coffee</span> has:</p>	10 million (10<sup>7</sup>) times lower [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect	10 million (10<sup>7</sup>) times higher [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Correct	7 times higher [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect	7 times lower [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect
MC	<p>fdc1_c247</p> <p>The pH of the <span style='color: #0F766E; font-weight: 700;'>saliva</span> is <span style='font-family: monospace;'>6.8</span>, while the <span style='color: #7F1D1D; font-weight: 700;'>battery acid</span> is pH <span style='font-family: monospace;'>0.8</span>. This is a difference of 6 pH units.</p><p>The <span style='color: #7F1D1D; font-weight: 700;'>battery acid</span> has:</p>	6 times lower [H+] than the <span style='color: #0F766E; font-weight: 700;'>saliva</span>.	Incorrect	6 times higher [H+] than the <span style='color: #0F766E; font-weight: 700;'>saliva</span>.	Incorrect	1 million (10<sup>6</sup>) times higher [H+] than the <span style='color: #0F766E; font-weight: 700;'>saliva</span>.	Correct	1 million (10<sup>6</sup>) times lower [H+] than the <span style='color: #0F766E; font-weight: 700;'>saliva</span>.	Incorrect
MC	<p>2629_3575</p> <p>The pH of the <span style='color: #B91C1C; font-weight: 700;'>tomato juice</span> is <span style='font-family: monospace;'>4.1</span>, while the <span style='color: #C2410C; font-weight: 700;'>lemon juice</span> is pH <span style='font-family: monospace;'>2.1</span>. This is a difference of 2 pH units.</p><p>The <span style='color: #C2410C; font-weight: 700;'>lemon juice</span> has:</p>	100 (10<sup>2</sup>) times higher [H+] than the <span style='color: #B91C1C; font-weight: 700;'>tomato juice</span>.	Correct	2 times higher [H+] than the <span style='color: #B91C1C; font-weight: 700;'>tomato juice</span>.	Incorrect	100 (10<sup>2</sup>) times lower [H+] than the <span style='color: #B91C1C; font-weight: 700;'>tomato juice</span>.	Incorrect	2 times lower [H+] than the <span style='color: #B91C1C; font-weight: 700;'>tomato juice</span>.	Incorrect
MC	<p>9247_b02e</p> <p>The pH of the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span> is <span style='font-family: monospace;'>8.4</span>, while the <span style='color: #9A3412; font-weight: 700;'>vinegar</span> is pH <span style='font-family: monospace;'>2.4</span>. This is a difference of 6 pH units.</p><p>The <span style='color: #9A3412; font-weight: 700;'>vinegar</span> has:</p>	1 million (10<sup>6</sup>) times lower [H+] than the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span>.	Incorrect	1 million (10<sup>6</sup>) times higher [H+] than the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span>.	Correct	6 times higher [H+] than the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span>.	Incorrect	6 times lower [H+] than the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span>.	Incorrect
MC	<p>2bc0_4988</p> <p>The pH of the <span style='color: #7C3AED; font-weight: 700;'>bleach</span> is <span style='font-family: monospace;'>11.9</span>, while the <span style='color: #6B7280; font-weight: 700;'>egg white</span> is pH <span style='font-family: monospace;'>8.9</span>. This is a difference of 3 pH units.</p><p>The <span style='color: #6B7280; font-weight: 700;'>egg white</span> has:</p>	3 times lower [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect	1,000 (10<sup>3</sup>) times higher [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Correct	3 times higher [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect	1,000 (10<sup>3</sup>) times lower [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect
MC	<p>0121_68d2</p> <p>The pH of the <span style='color: #7C3AED; font-weight: 700;'>bleach</span> is <span style='font-family: monospace;'>12.1</span>, while the <span style='color: #C2410C; font-weight: 700;'>lemon juice</span> is pH <span style='font-family: monospace;'>2.1</span>. This is a difference of 10 pH units.</p><p>The <span style='color: #C2410C; font-weight: 700;'>lemon juice</span> has:</p>	10^10 times lower [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect	10 times lower [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect	10 times higher [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect	10^10 times higher [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Correct
MC	<p>e4f7_60a8</p> <p>The pH of the <span style='color: #0EA5E9; font-weight: 700;'>seawater</span> is <span style='font-family: monospace;'>8.2</span>, while the <span style='color: #B91C1C; font-weight: 700;'>tomato juice</span> is pH <span style='font-family: monospace;'>4.2</span>. This is a difference of 4 pH units.</p><p>The <span style='color: #B91C1C; font-weight: 700;'>tomato juice</span> has:</p>	4 times higher [H+] than the <span style='color: #0EA5E9; font-weight: 700;'>seawater</span>.	Incorrect	10,000 (10<sup>4</sup>) times higher [H+] than the <span style='color: #0EA5E9; font-weight: 700;'>seawater</span>.	Correct	10,000 (10<sup>4</sup>) times lower [H+] than the <span style='color: #0EA5E9; font-weight: 700;'>seawater</span>.	Incorrect	4 times lower [H+] than the <span style='color: #0EA5E9; font-weight: 700;'>seawater</span>.	Incorrect
MC	<p>acc2_c573</p> <p>The pH of the <span style='color: #7C3AED; font-weight: 700;'>bleach</span> is <span style='font-family: monospace;'>11.9</span>, while the <span style='color: #0F766E; font-weight: 700;'>saliva</span> is pH <span style='font-family: monospace;'>6.9</span>. This is a difference of 5 pH units.</p><p>The <span style='color: #0F766E; font-weight: 700;'>saliva</span> has:</p>	100,000 (10<sup>5</sup>) times lower [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect	100,000 (10<sup>5</sup>) times higher [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Correct	5 times lower [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect	5 times higher [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect
MC	<p>06b6_376f</p> <p>The pH of the <span style='color: #7C3AED; font-weight: 700;'>bleach</span> is <span style='font-family: monospace;'>12.0</span>, while the <span style='color: #C2410C; font-weight: 700;'>lemon juice</span> is pH <span style='font-family: monospace;'>2.0</span>. This is a difference of 10 pH units.</p><p>The <span style='color: #C2410C; font-weight: 700;'>lemon juice</span> has:</p>	10 times higher [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect	10 times lower [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect	10^10 times higher [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Correct	10^10 times lower [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect
MC	<p>75ca_f4e2</p> <p>The pH of the <span style='color: #2563EB; font-weight: 700;'>rainwater</span> is <span style='font-family: monospace;'>5.5</span>, while the <span style='color: #9A3412; font-weight: 700;'>vinegar</span> is pH <span style='font-family: monospace;'>2.5</span>. This is a difference of 3 pH units.</p><p>The <span style='color: #9A3412; font-weight: 700;'>vinegar</span> has:</p>	3 times lower [H+] than the <span style='color: #2563EB; font-weight: 700;'>rainwater</span>.	Incorrect	1,000 (10<sup>3</sup>) times lower [H+] than the <span style='color: #2563EB; font-weight: 700;'>rainwater</span>.	Incorrect	3 times higher [H+] than the <span style='color: #2563EB; font-weight: 700;'>rainwater</span>.	Incorrect	1,000 (10<sup>3</sup>) times higher [H+] than the <span style='color: #2563EB; font-weight: 700;'>rainwater</span>.	Correct
MC	<p>48cf_7322</p> <p>The pH of the <span style='color: #7F1D1D; font-weight: 700;'>blood sample</span> is <span style='font-family: monospace;'>7.3</span>, while the <span style='color: #B45309; font-weight: 700;'>gastric juice</span> is pH <span style='font-family: monospace;'>1.3</span>. This is a difference of 6 pH units.</p><p>The <span style='color: #B45309; font-weight: 700;'>gastric juice</span> has:</p>	6 times lower [H+] than the <span style='color: #7F1D1D; font-weight: 700;'>blood sample</span>.	Incorrect	1 million (10<sup>6</sup>) times lower [H+] than the <span style='color: #7F1D1D; font-weight: 700;'>blood sample</span>.	Incorrect	1 million (10<sup>6</sup>) times higher [H+] than the <span style='color: #7F1D1D; font-weight: 700;'>blood sample</span>.	Correct	6 times higher [H+] than the <span style='color: #7F1D1D; font-weight: 700;'>blood sample</span>.	Incorrect
MC	<p>3f7d_7823</p> <p>The pH of the <span style='color: #C2410C; font-weight: 700;'>lemon juice</span> is <span style='font-family: monospace;'>1.9</span>, while the <span style='color: #7F1D1D; font-weight: 700;'>battery acid</span> is pH <span style='font-family: monospace;'>0.9</span>. This is a difference of 1 pH units.</p><p>The <span style='color: #7F1D1D; font-weight: 700;'>battery acid</span> has:</p>	1 times lower [H+] than the <span style='color: #C2410C; font-weight: 700;'>lemon juice</span>.	Incorrect	10 (10<sup>1</sup>) times higher [H+] than the <span style='color: #C2410C; font-weight: 700;'>lemon juice</span>.	Correct	10 (10<sup>1</sup>) times lower [H+] than the <span style='color: #C2410C; font-weight: 700;'>lemon juice</span>.	Incorrect	1 times higher [H+] than the <span style='color: #C2410C; font-weight: 700;'>lemon juice</span>.	Incorrect
MC	<p>c843_cbcf</p> <p>The pH of the <span style='color: #0B7285; font-weight: 700;'>household ammonia</span> is <span style='font-family: monospace;'>11.1</span>, while the <span style='color: #C2410C; font-weight: 700;'>lemon juice</span> is pH <span style='font-family: monospace;'>2.1</span>. This is a difference of 9 pH units.</p><p>The <span style='color: #C2410C; font-weight: 700;'>lemon juice</span> has:</p>	1 billion (10<sup>9</sup>) times lower [H+] than the <span style='color: #0B7285; font-weight: 700;'>household ammonia</span>.	Incorrect	9 times higher [H+] than the <span style='color: #0B7285; font-weight: 700;'>household ammonia</span>.	Incorrect	9 times lower [H+] than the <span style='color: #0B7285; font-weight: 700;'>household ammonia</span>.	Incorrect	1 billion (10<sup>9</sup>) times higher [H+] than the <span style='color: #0B7285; font-weight: 700;'>household ammonia</span>.	Correct
MC	<p>3753_b02e</p> <p>The pH of the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span> is <span style='font-family: monospace;'>8.5</span>, while the <span style='color: #991B1B; font-weight: 700;'>cola</span> is pH <span style='font-family: monospace;'>2.5</span>. This is a difference of 6 pH units.</p><p>The <span style='color: #991B1B; font-weight: 700;'>cola</span> has:</p>	1 million (10<sup>6</sup>) times lower [H+] than the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span>.	Incorrect	1 million (10<sup>6</sup>) times higher [H+] than the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span>.	Correct	6 times higher [H+] than the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span>.	Incorrect	6 times lower [H+] than the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span>.	Incorrect
MC	<p>8592_62e7</p> <p>The pH of the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span> is <span style='font-family: monospace;'>8.3</span>, while the <span style='color: #EA580C; font-weight: 700;'>orange juice</span> is pH <span style='font-family: monospace;'>3.3</span>. This is a difference of 5 pH units.</p><p>The <span style='color: #EA580C; font-weight: 700;'>orange juice</span> has:</p>	100,000 (10<sup>5</sup>) times higher [H+] than the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span>.	Correct	100,000 (10<sup>5</sup>) times lower [H+] than the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span>.	Incorrect	5 times higher [H+] than the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span>.	Incorrect	5 times lower [H+] than the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span>.	Incorrect
MC	<p>3d12_ba90</p> <p>The pH of the <span style='color: #7C3AED; font-weight: 700;'>bleach</span> is <span style='font-family: monospace;'>11.9</span>, while the <span style='color: #7F1D1D; font-weight: 700;'>battery acid</span> is pH <span style='font-family: monospace;'>0.9</span>. This is a difference of 11 pH units.</p><p>The <span style='color: #7F1D1D; font-weight: 700;'>battery acid</span> has:</p>	11 times higher [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect	10^11 times lower [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect	11 times lower [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect	10^11 times higher [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Correct
MC	<p>2de9_53a4</p> <p>The pH of the <span style='color: #0EA5E9; font-weight: 700;'>seawater</span> is <span style='font-family: monospace;'>8.1</span>, while the <span style='color: #B91C1C; font-weight: 700;'>tomato juice</span> is pH <span style='font-family: monospace;'>4.1</span>. This is a difference of 4 pH units.</p><p>The <span style='color: #B91C1C; font-weight: 700;'>tomato juice</span> has:</p>	10,000 (10<sup>4</sup>) times lower [H+] than the <span style='color: #0EA5E9; font-weight: 700;'>seawater</span>.	Incorrect	10,000 (10<sup>4</sup>) times higher [H+] than the <span style='color: #0EA5E9; font-weight: 700;'>seawater</span>.	Correct	4 times lower [H+] than the <span style='color: #0EA5E9; font-weight: 700;'>seawater</span>.	Incorrect	4 times higher [H+] than the <span style='color: #0EA5E9; font-weight: 700;'>seawater</span>.	Incorrect
MC	<p>92f6_f235</p> <p>The pH of the <span style='color: #64748B; font-weight: 700;'>milk of magnesia</span> is <span style='font-family: monospace;'>10.4</span>, while the <span style='color: #B45309; font-weight: 700;'>gastric juice</span> is pH <span style='font-family: monospace;'>1.4</span>. This is a difference of 9 pH units.</p><p>The <span style='color: #B45309; font-weight: 700;'>gastric juice</span> has:</p>	1 billion (10<sup>9</sup>) times lower [H+] than the <span style='color: #64748B; font-weight: 700;'>milk of magnesia</span>.	Incorrect	9 times higher [H+] than the <span style='color: #64748B; font-weight: 700;'>milk of magnesia</span>.	Incorrect	9 times lower [H+] than the <span style='color: #64748B; font-weight: 700;'>milk of magnesia</span>.	Incorrect	1 billion (10<sup>9</sup>) times higher [H+] than the <span style='color: #64748B; font-weight: 700;'>milk of magnesia</span>.	Correct
MC	<p>cc52_9398</p> <p>The pH of the <span style='color: #0F766E; font-weight: 700;'>saliva</span> is <span style='font-family: monospace;'>6.9</span>, while the <span style='color: #C2410C; font-weight: 700;'>lemon juice</span> is pH <span style='font-family: monospace;'>1.9</span>. This is a difference of 5 pH units.</p><p>The <span style='color: #C2410C; font-weight: 700;'>lemon juice</span> has:</p>	5 times lower [H+] than the <span style='color: #0F766E; font-weight: 700;'>saliva</span>.	Incorrect	5 times higher [H+] than the <span style='color: #0F766E; font-weight: 700;'>saliva</span>.	Incorrect	100,000 (10<sup>5</sup>) times higher [H+] than the <span style='color: #0F766E; font-weight: 700;'>saliva</span>.	Correct	100,000 (10<sup>5</sup>) times lower [H+] than the <span style='color: #0F766E; font-weight: 700;'>saliva</span>.	Incorrect
MC	<p>3c93_df0f</p> <p>The pH of the <span style='color: #6B7280; font-weight: 700;'>egg white</span> is <span style='font-family: monospace;'>9.0</span>, while the <span style='color: #0EA5E9; font-weight: 700;'>seawater</span> is pH <span style='font-family: monospace;'>8.0</span>. This is a difference of 1 pH units.</p><p>The <span style='color: #0EA5E9; font-weight: 700;'>seawater</span> has:</p>	10 (10<sup>1</sup>) times lower [H+] than the <span style='color: #6B7280; font-weight: 700;'>egg white</span>.	Incorrect	1 times higher [H+] than the <span style='color: #6B7280; font-weight: 700;'>egg white</span>.	Incorrect	1 times lower [H+] than the <span style='color: #6B7280; font-weight: 700;'>egg white</span>.	Incorrect	10 (10<sup>1</sup>) times higher [H+] than the <span style='color: #6B7280; font-weight: 700;'>egg white</span>.	Correct
MC	<p>3889_c697</p> <p>The pH of the <span style='color: #6B7280; font-weight: 700;'>egg white</span> is <span style='font-family: monospace;'>8.9</span>, while the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span> is pH <span style='font-family: monospace;'>6.9</span>. This is a difference of 2 pH units.</p><p>The <span style='color: #1D4ED8; font-weight: 700;'>pure water</span> has:</p>	100 (10<sup>2</sup>) times lower [H+] than the <span style='color: #6B7280; font-weight: 700;'>egg white</span>.	Incorrect	2 times higher [H+] than the <span style='color: #6B7280; font-weight: 700;'>egg white</span>.	Incorrect	100 (10<sup>2</sup>) times higher [H+] than the <span style='color: #6B7280; font-weight: 700;'>egg white</span>.	Correct	2 times lower [H+] than the <span style='color: #6B7280; font-weight: 700;'>egg white</span>.	Incorrect
MC	<p>6a40_1628</p> <p>The pH of the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span> is <span style='font-family: monospace;'>6.9</span>, while the <span style='color: #7F1D1D; font-weight: 700;'>battery acid</span> is pH <span style='font-family: monospace;'>0.9</span>. This is a difference of 6 pH units.</p><p>The <span style='color: #7F1D1D; font-weight: 700;'>battery acid</span> has:</p>	6 times lower [H+] than the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span>.	Incorrect	1 million (10<sup>6</sup>) times higher [H+] than the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span>.	Correct	6 times higher [H+] than the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span>.	Incorrect	1 million (10<sup>6</sup>) times lower [H+] than the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span>.	Incorrect
MC	<p>e33c_8628</p> <p>The pH of the <span style='color: #0B7285; font-weight: 700;'>household ammonia</span> is <span style='font-family: monospace;'>10.9</span>, while the <span style='color: #7F1D1D; font-weight: 700;'>battery acid</span> is pH <span style='font-family: monospace;'>0.9</span>. This is a difference of 10 pH units.</p><p>The <span style='color: #7F1D1D; font-weight: 700;'>battery acid</span> has:</p>	10 times higher [H+] than the <span style='color: #0B7285; font-weight: 700;'>household ammonia</span>.	Incorrect	10 times lower [H+] than the <span style='color: #0B7285; font-weight: 700;'>household ammonia</span>.	Incorrect	10^10 times higher [H+] than the <span style='color: #0B7285; font-weight: 700;'>household ammonia</span>.	Correct	10^10 times lower [H+] than the <span style='color: #0B7285; font-weight: 700;'>household ammonia</span>.	Incorrect
MC	<p>488a_6bfc</p> <p>The pH of the <span style='color: #64748B; font-weight: 700;'>milk of magnesia</span> is <span style='font-family: monospace;'>10.4</span>, while the <span style='color: #7F1D1D; font-weight: 700;'>blood sample</span> is pH <span style='font-family: monospace;'>7.4</span>. This is a difference of 3 pH units.</p><p>The <span style='color: #7F1D1D; font-weight: 700;'>blood sample</span> has:</p>	1,000 (10<sup>3</sup>) times higher [H+] than the <span style='color: #64748B; font-weight: 700;'>milk of magnesia</span>.	Correct	1,000 (10<sup>3</sup>) times lower [H+] than the <span style='color: #64748B; font-weight: 700;'>milk of magnesia</span>.	Incorrect	3 times higher [H+] than the <span style='color: #64748B; font-weight: 700;'>milk of magnesia</span>.	Incorrect	3 times lower [H+] than the <span style='color: #64748B; font-weight: 700;'>milk of magnesia</span>.	Incorrect
MC	<p>ac24_b32e</p> <p>The pH of the <span style='color: #7C3AED; font-weight: 700;'>bleach</span> is <span style='font-family: monospace;'>12.1</span>, while the <span style='color: #3F3F46; font-weight: 700;'>black coffee</span> is pH <span style='font-family: monospace;'>5.1</span>. This is a difference of 7 pH units.</p><p>The <span style='color: #3F3F46; font-weight: 700;'>black coffee</span> has:</p>	10 million (10<sup>7</sup>) times higher [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Correct	7 times lower [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect	7 times higher [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect	10 million (10<sup>7</sup>) times lower [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect
MC	<p>1c7c_fe84</p> <p>The pH of the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span> is <span style='font-family: monospace;'>6.9</span>, while the <span style='color: #C2410C; font-weight: 700;'>lemon juice</span> is pH <span style='font-family: monospace;'>1.9</span>. This is a difference of 5 pH units.</p><p>The <span style='color: #C2410C; font-weight: 700;'>lemon juice</span> has:</p>	5 times lower [H+] than the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span>.	Incorrect	100,000 (10<sup>5</sup>) times higher [H+] than the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span>.	Correct	100,000 (10<sup>5</sup>) times lower [H+] than the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span>.	Incorrect	5 times higher [H+] than the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span>.	Incorrect
